direktorij,slika,presek/unija,precision,recall,mse,,
compressedR64_pcaKompresor,s2.jpg,0.620425551,0.792342462,0.95466923,0.032548234,,0.257152784
compressedR64_pcaKompresor,s3.jpg,0.570695279,0.794523964,0.952981994,0.035278752,,0.266027074
compressedR64_pcaKompresor,s4.jpg,0.605130196,0.781531748,0.982811491,0.089055417,,0.266444071
compressedR64_pcaKompresor,s5.jpg,0.851766894,0.903292791,0.94051149,0.028188324,,0.266462408
compressedR64_pcaKompresor,s6.jpg,0.48664084,0.475695706,0.903616121,0.011427571,,0.306396179
compressedR8_pcaKompresor,s1.jpg,0.001166677,0.023101024,0.784583441,0.079658666,,0.314913123
compressedR8_pcaKompresor,s2.jpg,0.008222204,0.060888062,0.89921466,0.128738017,,0.34873696
compressedR8_pcaKompresor,s3.jpg,0.003081542,0.044087577,0.891129032,0.077655265,,0.35173668
compressedR8_pcaKompresor,s4.jpg,0.010816017,0.097988257,0.979159987,0.35173668,,0.356531297
compressedR8_pcaKompresor,s5.jpg,0.043237749,0.28395135,0.989456275,0.248590024,,0.356957782
compressedR8_pcaKompresor,s6.jpg,0.001866884,0.02196711,0.806580703,0.040828464,,0.357082984
OG,s1.jpg,1,1,1,0,,
OG,s2.jpg,1,1,1,0,,
OG,s3.jpg,1,1,1,0,,
OG,s4.jpg,1,1,1,0,,
OG,s5.jpg,1,1,1,0,,
OG,s6.jpg,1,1,1,0,,
